artifact,scope,status,generator,evidence,notes,current_path,disposition
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SLV/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SLV/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SLV/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SLV/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SOM/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SOM/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SOM/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SOM/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SOM/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SOM/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SSD/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SSD/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SSD/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SSD/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SSD/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SSD/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SWZ/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SWZ/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SWZ/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SWZ/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SWZ/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/SWZ/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TJK/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TJK/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TJK/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TJK/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TJK/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TJK/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TZA/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TZA/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TZA/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TZA/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TZA/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/TZA/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/UGA/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/UGA/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/UGA/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/UGA/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/UGA/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/UGA/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/YEM/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/YEM/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/YEM/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/YEM/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/YEM/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/YEM/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZAF/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZAF/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZAF/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZAF/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZAF/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZAF/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZMB/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZMB/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZMB/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZMB/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZMB/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZMB/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZWE/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZWE/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZWE/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZWE/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZWE/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ZWE/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/AFG/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/AFG/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/AFG/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/AFG/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/AFG/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/AFG/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/BDI/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/BDI/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/BDI/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/BDI/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/BDI/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/BDI/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/CAF/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/CAF/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/CAF/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/CAF/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/CAF/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/CAF/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/COD/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/COD/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/COD/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/COD/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/COD/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/COD/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DJI/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DJI/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DJI/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DJI/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DJI/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DJI/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DOM/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DOM/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DOM/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DOM/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DOM/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/DOM/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ETH/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ETH/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ETH/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ETH/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ETH/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ETH/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/GTM/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/GTM/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/GTM/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/GTM/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/GTM/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/GTM/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HND/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HND/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HND/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HND/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HND/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HND/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HTI/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HTI/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HTI/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HTI/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HTI/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/HTI/nowcasting_predictions.csv,retained
